자치구별,2018_people,2019_people,2020_people,2021_people,2022_people
종로구,3843581,4112688,1320439,1870094,3121980
중구,1682720,1598663,383798,660273,1318271
용산구,2266969,2332135,951797,1644207,1323081
성동구,3081900,2903130,492697,484024,1217900
광진구,2342446,2518424,827789,1285690,1664321
동대문구,2460221,2455219,883325,1144079,1441389
중랑구,2039360,1958929,530962,1008471,1148656
성북구,1700278,1642640,620984,1270418,1428280
강북구,1140127,922334,158654,282566,344119
도봉구,1586923,1767791,752692,1030079,1256794
노원구,4487940,3947227,1229190,2383334,3037202
은평구,2517939,2629946,575418,1130709,1977732
서대문구,1568025,1611088,607872,1096078,1216487
마포구,4047530,3629379,1253273,1294845,2155343
양천구,3448296,3288722,1253684,2368865,2475612
강서구,2938978,3035500,861656,1457363,1737574
구로구,2789426,2765342,850389,1304620,1620020
금천구,1713856,1671508,230644,345353,993603
영등포구,1786193,1549225,418106,758850,1004040
동작구,1413969,1458268,424202,566912,1077371
관악구,980392,871112,146933,235811,430621
서초구,1750337,2149663,570889,911523,1481882
강남구,5838954,6428518,1627101,1844413,3225859
송파구,4842361,4904383,1287998,2036142,2847235
강동구,4686714,4776291,1666661,2874011,3445148
전체,66955435,66928125,19927153,31288730,42990520
