자치구별,2018_seat,2019_seat,2020_seat,2021_seat,2022_seat
종로구,2426,2399,2424,3014,2955
중구,699,689,810,1049,1007
용산구,1545,1587,1557,1471,1214
성동구,1691,1675,1688,1508,1508
광진구,1346,1348,1523,1392,1512
동대문구,1155,1228,1279,1176,1203
중랑구,1318,1564,1126,1591,1645
성북구,1504,1813,2014,1744,1842
강북구,1590,1699,1536,1488,1482
도봉구,1819,1913,1793,1959,2016
노원구,3565,3352,3135,3080,2908
은평구,2443,2579,2611,2456,2447
서대문구,978,978,1214,861,832
마포구,2171,2333,2197,2091,2179
양천구,1928,1894,1729,2169,2074
강서구,2943,2793,2620,2488,2460
구로구,2412,2061,2003,1850,1997
금천구,1381,1423,1342,1365,1233
영등포구,1094,1107,1238,1227,1264
동작구,1109,955,1080,1333,1177
관악구,1040,1040,1010,902,852
서초구,1084,1630,1846,1853,1852
강남구,2702,2567,2502,2321,2380
송파구,2453,2430,2431,2431,2290
강동구,3140,3196,3231,3233,3245
전체,45536,46253,45939,46052,45574
